,Postcode,Bedrooms,RentalUnitDesc,VUDate,VTDate,TENDate,RUUseType,HousingServiceCentre,VUDays,VTDays,TotalVAC,LGA,StateElectorate,Year,Month
211,4110,2,Apartment,19/06/2017,9/08/2017,9/08/2017,Public Housing,104,51,0,51,BRISBANE,ALGESTER,2017,2017-08
213,4110,1,Apartment,6/03/2018,6/03/2018,9/03/2018,Public Housing,104,0,3,3,BRISBANE,ALGESTER,2018,2018-03
214,4110,1,Apartment,6/03/2018,6/03/2018,7/03/2018,Public Housing,104,0,1,1,BRISBANE,ALGESTER,2018,2018-03
215,4110,1,Apartment,6/03/2018,6/03/2018,23/03/2018,Public Housing,104,0,17,17,BRISBANE,ALGESTER,2018,2018-03
216,4110,1,Apartment,6/03/2018,6/03/2018,21/03/2018,Public Housing,104,0,15,15,BRISBANE,ALGESTER,2018,2018-03
218,4110,1,Apartment,1/03/2018,5/03/2018,5/03/2018,Public Housing,104,4,0,4,BRISBANE,ALGESTER,2018,2018-03
219,4110,1,Apartment,6/03/2018,6/03/2018,9/03/2018,Public Housing,104,0,3,3,BRISBANE,ALGESTER,2018,2018-03
220,4110,1,Apartment,6/03/2018,6/03/2018,15/03/2018,Public Housing,104,0,9,9,BRISBANE,ALGESTER,2018,2018-03
221,4110,1,Apartment,6/03/2018,6/03/2018,23/03/2018,Public Housing,104,0,17,17,BRISBANE,ALGESTER,2018,2018-03
222,4110,1,Apartment,6/03/2018,6/03/2018,22/03/2018,Public Housing,104,0,16,16,BRISBANE,ALGESTER,2018,2018-03
223,4110,1,Apartment,6/03/2018,6/03/2018,26/03/2018,Public Housing,104,0,20,20,BRISBANE,ALGESTER,2018,2018-03
224,4110,1,Apartment,2/03/2018,5/03/2018,6/03/2018,Public Housing,104,3,1,4,BRISBANE,ALGESTER,2018,2018-03
225,4110,1,Apartment,6/03/2018,6/03/2018,14/03/2018,Public Housing,104,0,8,8,BRISBANE,ALGESTER,2018,2018-03
226,4110,1,Apartment,6/03/2018,6/03/2018,10/03/2018,Public Housing,104,0,4,4,BRISBANE,ALGESTER,2018,2018-03
228,4034,3,Apartment,6/12/2017,21/12/2017,2/01/2018,Public Housing,105,15,12,27,BRISBANE,NUDGEE,2018,2018-01
229,4034,3,Duplex,10/08/2017,8/09/2017,19/09/2017,Public Housing,105,29,11,40,BRISBANE,NUDGEE,2017,2017-09
230,4034,2,Duplex,24/11/2017,6/12/2017,12/03/2018,Public Housing,105,12,96,108,BRISBANE,NUDGEE,2018,2018-03
231,4034,1,Attached Housing,25/05/2017,13/07/2017,14/07/2017,Public Housing,105,49,1,50,BRISBANE,NUDGEE,2017,2017-07
232,4034,1,Duplex,1/05/2018,15/05/2018,17/05/2018,Public Housing,105,14,2,16,BRISBANE,NUDGEE,2018,2018-05
234,4077,3,Detached House,3/04/2018,24/04/2018,27/04/2018,Public Housing,104,21,3,24,BRISBANE,INALA,2018,2018-04
235,4172,1,Apartment,21/06/2018,22/06/2018,25/06/2018,Public Housing,109,1,3,4,BRISBANE,BULIMBA,2018,2018-06
236,4172,1,Detached House,1/05/2018,1/05/2018,3/05/2018,Public Housing,109,0,2,2,BRISBANE,BULIMBA,2018,2018-05
237,4121,3,Apartment,20/03/2018,18/04/2018,9/05/2018,Public Housing,107,29,21,50,BRISBANE,GREENSLOPES,2018,2018-05
238,4121,3,Apartment,20/03/2018,12/04/2018,9/05/2018,Public Housing,107,23,27,50,BRISBANE,GREENSLOPES,2018,2018-05
239,4032,2,Apartment,9/10/2017,10/10/2017,10/10/2017,Public Housing,105,1,0,1,BRISBANE,STAFFORD,2017,2017-10
240,4032,3,Apartment,7/11/2017,8/11/2017,27/11/2017,Public Housing,105,1,19,20,BRISBANE,STAFFORD,2017,2017-11
241,4032,3,Apartment,20/11/2017,15/12/2017,2/02/2018,Public Housing,105,25,49,74,BRISBANE,STAFFORD,2018,2018-02
242,4032,3,Detached House,22/11/2017,15/02/2018,16/02/2018,Public Housing,105,85,1,86,BRISBANE,STAFFORD,2018,2018-02
243,4053,3,Apartment,21/07/2017,15/08/2017,8/09/2017,Public Housing,105,25,24,49,BRISBANE,STAFFORD,2017,2017-09
244,4053,3,Detached House,8/05/2018,9/05/2018,9/05/2018,Public Housing,105,1,0,1,BRISBANE,STAFFORD,2018,2018-05
246,4110,2,Apartment,13/11/2017,21/11/2017,22/11/2017,Public Housing,104,8,1,9,BRISBANE,ALGESTER,2017,2017-11
247,4110,3,Apartment,15/12/2017,18/12/2017,20/12/2017,Public Housing,104,3,2,5,BRISBANE,ALGESTER,2017,2017-12
248,4077,3,Apartment,21/11/2017,6/12/2017,8/12/2017,Public Housing,104,15,2,17,BRISBANE,INALA,2017,2017-12
249,4077,4,Apartment,12/06/2017,14/07/2017,14/07/2017,Public Housing,104,32,0,32,BRISBANE,INALA,2017,2017-07
250,4077,3,Duplex,7/02/2018,8/02/2018,8/02/2018,Public Housing,104,1,0,1,BRISBANE,INALA,2018,2018-02
251,4077,4,Apartment,9/11/2017,7/12/2017,8/12/2017,Public Housing,104,28,1,29,BRISBANE,INALA,2017,2017-12
252,4077,1,Attached Housing,17/01/2018,31/01/2018,1/02/2018,Public Housing,104,14,1,15,BRISBANE,INALA,2018,2018-02
253,4077,4,Apartment,15/02/2018,5/03/2018,6/03/2018,Public Housing,104,18,1,19,BRISBANE,INALA,2018,2018-03
254,4054,4,Cluster Housing,11/09/2017,25/09/2017,26/09/2017,Public Housing,108,14,1,15,BRISBANE,FERNY GROVE,2017,2017-09
255,4077,3,Cluster Housing,4/05/2018,9/05/2018,9/05/2018,Public Housing,104,5,0,5,BRISBANE,INALA,2018,2018-05
256,4077,3,Apartment,6/03/2018,28/03/2018,29/03/2018,Public Housing,104,22,1,23,BRISBANE,INALA,2018,2018-03
257,4077,3,Apartment,6/09/2017,20/09/2017,21/09/2017,Public Housing,104,14,1,15,BRISBANE,INALA,2017,2017-09
258,4077,3,Apartment,3/11/2017,23/11/2017,23/11/2017,Public Housing,104,20,0,20,BRISBANE,INALA,2017,2017-11
259,4077,3,Apartment,16/01/2018,6/02/2018,7/02/2018,Public Housing,104,21,1,22,BRISBANE,INALA,2018,2018-02
260,4178,3,Apartment,24/01/2018,2/02/2018,19/02/2018,Public Housing,109,9,17,26,BRISBANE,LYTTON,2018,2018-02
261,4178,3,Apartment,13/11/2017,17/11/2017,5/01/2018,Public Housing,109,4,49,53,BRISBANE,LYTTON,2018,2018-01
262,4178,4,Apartment,16/02/2018,23/04/2018,30/04/2018,Public Housing,109,66,7,73,BRISBANE,LYTTON,2018,2018-04
263,4054,4,Apartment,14/09/2017,2/11/2017,3/11/2017,Public Housing,108,49,1,50,BRISBANE,FERNY GROVE,2017,2017-11
264,4054,3,Apartment,22/05/2018,31/05/2018,6/06/2018,Public Housing,108,9,6,15,BRISBANE,FERNY GROVE,2018,2018-06
266,4054,3,Detached House,11/06/2018,19/06/2018,20/06/2018,Public Housing,108,8,1,9,BRISBANE,FERNY GROVE,2018,2018-06
267,4076,3,Apartment,18/12/2017,8/01/2018,8/01/2018,Public Housing,104,21,0,21,BRISBANE,INALA,2018,2018-01
269,4076,3,Apartment,12/12/2017,23/01/2018,25/01/2018,Public Housing,104,42,2,44,BRISBANE,INALA,2018,2018-01
270,4017,3,Detached House,15/11/2017,7/12/2017,20/12/2017,Public Housing,105,22,13,35,BRISBANE,SANDGATE,2017,2017-12
271,4034,1,Duplex,8/06/2017,26/06/2017,7/07/2017,Public Housing,105,18,11,29,BRISBANE,NUDGEE,2017,2017-07
272,4171,1,Detached House,20/11/2017,27/11/2017,11/12/2017,Public Housing,109,7,14,21,BRISBANE,BULIMBA,2017,2017-12
273,4171,1,Detached House,19/12/2017,11/01/2018,24/01/2018,Public Housing,109,23,13,36,BRISBANE,BULIMBA,2018,2018-01
274,4171,1,Duplex,24/05/2018,5/06/2018,15/06/2018,Public Housing,109,12,10,22,BRISBANE,BULIMBA,2018,2018-06
275,4120,1,Detached House,1/02/2018,8/03/2018,8/03/2018,Public Housing,107,35,0,35,BRISBANE,GREENSLOPES,2018,2018-03
276,4120,1,Apartment,17/10/2017,2/11/2017,1/12/2017,Public Housing,107,16,29,45,BRISBANE,GREENSLOPES,2017,2017-12
277,4120,1,Apartment,3/07/2017,14/07/2017,17/07/2017,Public Housing,107,11,3,14,BRISBANE,GREENSLOPES,2017,2017-07
278,4120,1,Apartment,7/02/2018,20/02/2018,9/03/2018,Public Housing,107,13,17,30,BRISBANE,GREENSLOPES,2018,2018-03
279,4104,1,Detached House,4/12/2017,5/12/2017,5/12/2017,Public Housing,107,1,0,1,BRISBANE,MILLER,2017,2017-12
280,4104,1,Detached House,9/10/2017,23/10/2017,15/11/2017,Public Housing,107,14,23,37,BRISBANE,MILLER,2017,2017-11
281,4104,1,Detached House,13/09/2017,27/09/2017,3/10/2017,Public Housing,107,14,6,20,BRISBANE,MILLER,2017,2017-10
282,4104,1,Duplex,11/05/2018,24/05/2018,25/05/2018,Public Housing,107,13,1,14,BRISBANE,MILLER,2018,2018-05
283,4104,1,Duplex,1/12/2017,12/12/2017,13/12/2017,Public Housing,107,11,1,12,BRISBANE,MILLER,2017,2017-12
284,4104,1,Detached House,22/03/2018,9/04/2018,14/05/2018,Public Housing,107,18,35,53,BRISBANE,MILLER,2018,2018-05
285,4012,1,Apartment,18/09/2017,13/10/2017,10/11/2017,Public Housing,105,25,28,53,BRISBANE,NUDGEE,2017,2017-11
286,4077,3,Apartment,9/03/2018,27/04/2018,27/04/2018,Public Housing,104,49,0,49,BRISBANE,INALA,2018,2018-04
287,4051,1,Detached House,2/03/2018,26/03/2018,28/03/2018,Public Housing,108,24,2,26,BRISBANE,FERNY GROVE,2018,2018-03
288,4051,1,Senior Unit,6/04/2018,19/04/2018,24/04/2018,Public Housing,108,13,5,18,BRISBANE,FERNY GROVE,2018,2018-04
289,4051,1,Senior Unit,19/02/2018,20/03/2018,5/04/2018,Public Housing,108,29,16,45,BRISBANE,FERNY GROVE,2018,2018-04
290,4051,1,Detached House,10/07/2017,19/07/2017,19/07/2017,Public Housing,108,9,0,9,BRISBANE,FERNY GROVE,2017,2017-07
291,4051,1,Detached House,1/06/2017,13/06/2017,10/07/2017,Public Housing,108,12,27,39,BRISBANE,FERNY GROVE,2017,2017-07
292,4051,1,Detached House,25/07/2017,8/08/2017,21/08/2017,Public Housing,108,14,13,27,BRISBANE,FERNY GROVE,2017,2017-08
293,4051,1,Detached House,24/10/2017,1/11/2017,2/11/2017,Public Housing,108,8,1,9,BRISBANE,FERNY GROVE,2017,2017-11
294,4051,1,Detached House,7/03/2018,22/03/2018,22/03/2018,Public Housing,108,15,0,15,BRISBANE,FERNY GROVE,2018,2018-03
295,4051,1,Detached House,11/08/2017,23/08/2017,30/08/2017,Public Housing,108,12,7,19,BRISBANE,FERNY GROVE,2017,2017-08
296,4051,1,Senior Unit,31/08/2017,8/09/2017,22/09/2017,Public Housing,108,8,14,22,BRISBANE,FERNY GROVE,2017,2017-09
297,4012,1,Duplex,19/07/2017,7/08/2017,4/10/2017,Public Housing,105,19,58,77,BRISBANE,NUDGEE,2017,2017-10
298,4012,1,Detached House,3/01/2018,17/01/2018,2/03/2018,Public Housing,105,14,44,58,BRISBANE,NUDGEE,2018,2018-03
299,4012,1,Detached House,24/07/2017,3/08/2017,22/08/2017,Public Housing,105,10,19,29,BRISBANE,NUDGEE,2017,2017-08
300,4012,1,Detached House,11/10/2017,20/10/2017,24/11/2017,Public Housing,105,9,35,44,BRISBANE,NUDGEE,2017,2017-11
301,4170,1,Apartment,4/01/2018,16/01/2018,18/01/2018,Public Housing,109,12,2,14,BRISBANE,BULIMBA,2018,2018-01
302,4170,1,Apartment,28/08/2017,11/09/2017,26/09/2017,Public Housing,109,14,15,29,BRISBANE,BULIMBA,2017,2017-09
303,4005,1,Apartment,29/06/2017,10/07/2017,18/07/2017,Public Housing,108,11,8,19,BRISBANE,MCCONNEL,2017,2017-07
304,4005,1,Apartment,8/02/2018,16/02/2018,19/02/2018,Public Housing,108,8,3,11,BRISBANE,MCCONNEL,2018,2018-02
305,4005,1,Detached House,7/07/2017,19/07/2017,31/07/2017,Public Housing,108,12,12,24,BRISBANE,MCCONNEL,2017,2017-07
306,4005,1,Detached House,28/08/2017,5/09/2017,15/09/2017,Public Housing,108,8,10,18,BRISBANE,MCCONNEL,2017,2017-09
308,4005,1,Detached House,5/04/2018,18/04/2018,19/04/2018,Public Housing,108,13,1,14,BRISBANE,MCCONNEL,2018,2018-04
309,4051,3,Detached House,27/04/2018,15/05/2018,18/05/2018,Public Housing,108,18,3,21,BRISBANE,STAFFORD,2018,2018-05
310,4051,2,Detached House,26/10/2017,7/11/2017,9/11/2017,Public Housing,108,12,2,14,BRISBANE,STAFFORD,2017,2017-11
311,4051,3,Detached House,5/02/2018,19/02/2018,22/02/2018,Public Housing,108,14,3,17,BRISBANE,STAFFORD,2018,2018-02
312,4051,2,Apartment,13/09/2017,5/10/2017,6/10/2017,Public Housing,108,22,1,23,BRISBANE,STAFFORD,2017,2017-10
313,4051,1,Apartment,16/11/2017,4/12/2017,8/12/2017,Public Housing,108,18,4,22,BRISBANE,STAFFORD,2017,2017-12
314,4051,2,Apartment,16/11/2017,4/12/2017,7/12/2017,Public Housing,108,18,3,21,BRISBANE,STAFFORD,2017,2017-12
315,4101,1,Senior Unit,2/03/2018,16/03/2018,21/03/2018,Public Housing,108,14,5,19,BRISBANE,SOUTH BRISBANE,2018,2018-03
316,4101,2,Detached House,17/10/2017,1/11/2017,2/11/2017,Public Housing,108,15,1,16,BRISBANE,SOUTH BRISBANE,2017,2017-11
317,4064,1,Detached House,13/09/2017,26/09/2017,27/09/2017,Public Housing,108,13,1,14,BRISBANE,COOPER,2017,2017-09
318,4064,1,Senior Unit,28/07/2017,10/08/2017,18/08/2017,Public Housing,108,13,8,21,BRISBANE,COOPER,2017,2017-08
319,4061,3,Detached House,12/02/2018,9/03/2018,12/03/2018,Public Housing,108,25,3,28,BRISBANE,COOPER,2018,2018-03
320,4173,4,Apartment,30/08/2017,14/09/2017,21/09/2017,Public Housing,109,15,7,22,BRISBANE,CHATSWORTH,2017,2017-09
321,4077,3,Apartment,4/09/2017,26/09/2017,28/09/2017,Public Housing,104,22,2,24,BRISBANE,INALA,2017,2017-09
322,4179,1,Apartment,17/08/2017,1/09/2017,10/10/2017,Public Housing,109,15,39,54,BRISBANE,LYTTON,2017,2017-10
323,4122,4,Detached House,17/10/2017,20/10/2017,6/11/2017,Public Housing,107,3,17,20,BRISBANE,MANSFIELD,2017,2017-11
324,4017,1,Detached House,18/08/2017,1/09/2017,12/09/2017,Public Housing,105,14,11,25,BRISBANE,SANDGATE,2017,2017-09
325,4179,3,Detached House,7/09/2017,26/09/2017,11/10/2017,Public Housing,109,19,15,34,BRISBANE,LYTTON,2017,2017-10
326,4179,2,Detached House,13/11/2017,7/12/2017,8/12/2017,Public Housing,109,24,1,25,BRISBANE,LYTTON,2017,2017-12
327,4179,2,Detached House,21/08/2017,7/09/2017,12/09/2017,Public Housing,109,17,5,22,BRISBANE,LYTTON,2017,2017-09
328,4169,2,Apartment,12/06/2017,19/06/2017,3/07/2017,Public Housing,108,7,14,21,BRISBANE,SOUTH BRISBANE,2017,2017-07
329,4170,2,Attached Housing,7/11/2017,20/12/2017,15/01/2018,Public Housing,109,43,26,69,BRISBANE,BULIMBA,2018,2018-01
331,4170,2,Apartment,12/12/2017,5/01/2018,29/01/2018,Public Housing,109,24,24,48,BRISBANE,BULIMBA,2018,2018-01
332,4170,2,Apartment,27/11/2017,20/12/2017,16/01/2018,Public Housing,109,23,27,50,BRISBANE,BULIMBA,2018,2018-01
333,4120,1,Detached House,26/02/2018,7/03/2018,28/03/2018,Public Housing,107,9,21,30,BRISBANE,GREENSLOPES,2018,2018-03
334,4005,2,Detached House,8/11/2017,15/11/2017,17/11/2017,Public Housing,108,7,2,9,BRISBANE,MCCONNEL,2017,2017-11
335,4171,2,Detached House,1/05/2018,25/05/2018,5/06/2018,Public Housing,109,24,11,35,BRISBANE,BULIMBA,2018,2018-06
336,4005,1,Detached House,11/07/2017,1/08/2017,22/08/2017,Public Housing,108,21,21,42,BRISBANE,MCCONNEL,2017,2017-08
337,4005,1,Detached House,8/01/2018,24/01/2018,25/01/2018,Public Housing,108,16,1,17,BRISBANE,MCCONNEL,2018,2018-01
338,4005,1,Detached House,11/08/2017,21/08/2017,31/08/2017,Public Housing,108,10,10,20,BRISBANE,MCCONNEL,2017,2017-08
339,4005,1,Detached House,26/09/2017,5/10/2017,6/10/2017,Public Housing,108,9,1,10,BRISBANE,MCCONNEL,2017,2017-10
340,4017,1,Detached House,28/11/2017,15/12/2017,25/01/2018,Public Housing,105,17,41,58,BRISBANE,SANDGATE,2018,2018-01
341,4122,1,Detached House,8/05/2018,29/05/2018,21/06/2018,Public Housing,107,21,23,44,BRISBANE,MANSFIELD,2018,2018-06
343,4171,2,Detached House,18/09/2017,4/10/2017,9/10/2017,Public Housing,109,16,5,21,BRISBANE,BULIMBA,2017,2017-10
344,4171,2,Detached House,16/01/2018,2/02/2018,16/02/2018,Public Housing,109,17,14,31,BRISBANE,BULIMBA,2018,2018-02
345,4171,2,Detached House,10/10/2017,23/10/2017,3/11/2017,Public Housing,109,13,11,24,BRISBANE,BULIMBA,2017,2017-11
346,4170,1,Detached House,4/10/2017,24/10/2017,1/11/2017,Public Housing,109,20,8,28,BRISBANE,BULIMBA,2017,2017-11
347,4006,2,Apartment,21/02/2018,7/03/2018,8/03/2018,Public Housing,108,14,1,15,BRISBANE,MCCONNEL,2018,2018-03
348,4101,2,Detached House,20/11/2017,4/12/2017,6/12/2017,Public Housing,108,14,2,16,BRISBANE,SOUTH BRISBANE,2017,2017-12
349,4101,2,Detached House,31/07/2017,10/08/2017,25/08/2017,Public Housing,108,10,15,25,BRISBANE,SOUTH BRISBANE,2017,2017-08
350,4101,2,Detached House,22/08/2017,6/09/2017,18/09/2017,Public Housing,108,15,12,27,BRISBANE,SOUTH BRISBANE,2017,2017-09
351,4101,2,Detached House,1/05/2018,22/05/2018,22/05/2018,Public Housing,108,21,0,21,BRISBANE,SOUTH BRISBANE,2018,2018-05
352,4017,2,Apartment,8/06/2017,26/06/2017,6/07/2017,Public Housing,105,18,10,28,BRISBANE,SANDGATE,2017,2017-07
353,4077,2,Apartment,14/12/2017,22/12/2017,22/12/2017,Public Housing,104,8,0,8,BRISBANE,INALA,2017,2017-12
354,4170,2,Apartment,28/07/2017,7/08/2017,28/08/2017,Public Housing,109,10,21,31,BRISBANE,BULIMBA,2017,2017-08
355,4171,2,Detached House,12/12/2017,11/01/2018,15/01/2018,Public Housing,109,30,4,34,BRISBANE,BULIMBA,2018,2018-01
356,4017,2,Detached House,17/04/2018,1/05/2018,11/05/2018,Public Housing,105,14,10,24,BRISBANE,SANDGATE,2018,2018-05
357,4017,2,Detached House,20/09/2017,29/09/2017,2/11/2017,Public Housing,105,9,34,43,BRISBANE,SANDGATE,2017,2017-11
358,4000,2,Detached House,23/08/2017,11/09/2017,18/09/2017,Public Housing,108,19,7,26,BRISBANE,MCCONNEL,2017,2017-09
359,4169,2,Detached House,30/05/2018,18/06/2018,20/06/2018,Public Housing,108,19,2,21,BRISBANE,SOUTH BRISBANE,2018,2018-06
360,4169,2,Detached House,13/12/2017,9/01/2018,15/01/2018,Public Housing,108,27,6,33,BRISBANE,SOUTH BRISBANE,2018,2018-01
361,4169,2,Detached House,8/12/2017,4/01/2018,9/01/2018,Public Housing,108,27,5,32,BRISBANE,SOUTH BRISBANE,2018,2018-01
362,4178,1,Detached House,4/04/2018,16/04/2018,16/04/2018,Public Housing,109,12,0,12,BRISBANE,LYTTON,2018,2018-04
363,4169,1,Apartment,12/06/2018,25/06/2018,25/06/2018,Public Housing,108,13,0,13,BRISBANE,SOUTH BRISBANE,2018,2018-06
364,4169,1,Apartment,16/05/2018,25/05/2018,28/05/2018,Public Housing,108,9,3,12,BRISBANE,SOUTH BRISBANE,2018,2018-05
365,4103,1,Senior Unit,25/10/2017,10/11/2017,18/12/2017,Public Housing,107,16,38,54,BRISBANE,MILLER,2017,2017-12
366,4103,1,Duplex,26/06/2017,30/06/2017,7/07/2017,Public Housing,107,4,7,11,BRISBANE,MILLER,2017,2017-07
367,4103,1,Detached House,25/10/2017,6/11/2017,13/11/2017,Public Housing,107,12,7,19,BRISBANE,MILLER,2017,2017-11
368,4104,1,Detached House,20/03/2018,3/04/2018,9/04/2018,Public Housing,107,14,6,20,BRISBANE,MILLER,2018,2018-04
369,4053,1,Detached House,20/06/2017,30/06/2017,4/07/2017,Public Housing,105,10,4,14,BRISBANE,EVERTON,2017,2017-07
370,4053,1,Detached House,10/01/2018,24/01/2018,13/03/2018,Public Housing,105,14,48,62,BRISBANE,EVERTON,2018,2018-03
371,4053,1,Detached House,18/05/2018,30/05/2018,11/06/2018,Public Housing,105,12,12,24,BRISBANE,EVERTON,2018,2018-06
372,4053,1,Detached House,26/02/2018,13/03/2018,13/04/2018,Public Housing,105,15,31,46,BRISBANE,EVERTON,2018,2018-04
373,4017,1,Apartment,16/02/2018,13/03/2018,13/04/2018,Public Housing,105,25,31,56,BRISBANE,SANDGATE,2018,2018-04
374,4121,1,Detached House,8/03/2018,23/03/2018,30/04/2018,Public Housing,107,15,38,53,BRISBANE,GREENSLOPES,2018,2018-04
375,4121,1,Detached House,29/08/2017,11/09/2017,20/09/2017,Public Housing,107,13,9,22,BRISBANE,GREENSLOPES,2017,2017-09
376,4171,1,Detached House,21/12/2017,23/01/2018,13/02/2018,Public Housing,109,33,21,54,BRISBANE,BULIMBA,2018,2018-02
377,4169,2,Detached House,6/06/2018,21/06/2018,22/06/2018,Public Housing,108,15,1,16,BRISBANE,SOUTH BRISBANE,2018,2018-06
378,4169,2,Detached House,16/11/2017,29/11/2017,30/11/2017,Public Housing,108,13,1,14,BRISBANE,SOUTH BRISBANE,2017,2017-11
379,4169,2,Detached House,16/06/2017,21/06/2017,5/07/2017,Public Housing,108,5,14,19,BRISBANE,SOUTH BRISBANE,2017,2017-07
380,4169,2,Detached House,27/04/2018,1/06/2018,8/06/2018,Public Housing,108,35,7,42,BRISBANE,SOUTH BRISBANE,2018,2018-06
381,4169,1,Detached House,8/02/2018,22/02/2018,26/02/2018,Public Housing,108,14,4,18,BRISBANE,SOUTH BRISBANE,2018,2018-02
382,4169,1,Detached House,27/04/2018,30/05/2018,1/06/2018,Public Housing,108,33,2,35,BRISBANE,SOUTH BRISBANE,2018,2018-06
383,4169,1,Detached House,20/11/2017,13/12/2017,13/12/2017,Public Housing,108,23,0,23,BRISBANE,SOUTH BRISBANE,2017,2017-12
384,4169,1,Detached House,2/02/2018,2/03/2018,5/03/2018,Public Housing,108,28,3,31,BRISBANE,SOUTH BRISBANE,2018,2018-03
386,4169,1,Detached House,15/08/2017,4/09/2017,19/09/2017,Public Housing,108,20,15,35,BRISBANE,SOUTH BRISBANE,2017,2017-09
387,4030,2,Detached House,29/01/2018,21/02/2018,21/02/2018,Public Housing,108,23,0,23,BRISBANE,CLAYFIELD,2018,2018-02
389,4005,1,Detached House,7/11/2017,15/11/2017,20/11/2017,Public Housing,108,8,5,13,BRISBANE,MCCONNEL,2017,2017-11
391,4102,1,Apartment,1/06/2018,4/06/2018,4/06/2018,Public Housing,108,3,0,3,BRISBANE,SOUTH BRISBANE,2018,2018-06
392,4102,1,Apartment,4/06/2018,20/06/2018,27/06/2018,Public Housing,108,16,7,23,BRISBANE,SOUTH BRISBANE,2018,2018-06
393,4102,1,Detached House,21/07/2017,3/08/2017,8/08/2017,Public Housing,108,13,5,18,BRISBANE,SOUTH BRISBANE,2017,2017-08
394,4102,1,Detached House,27/04/2018,11/05/2018,14/05/2018,Public Housing,108,14,3,17,BRISBANE,SOUTH BRISBANE,2018,2018-05
396,4171,1,Apartment,19/02/2018,6/03/2018,15/03/2018,Public Housing,109,15,9,24,BRISBANE,BULIMBA,2018,2018-03
397,4152,1,Detached House,29/01/2018,12/02/2018,5/03/2018,Public Housing,107,14,21,35,BRISBANE,CHATSWORTH,2018,2018-03
398,4152,1,Detached House,31/07/2017,15/08/2017,23/08/2017,Public Housing,107,15,8,23,BRISBANE,CHATSWORTH,2017,2017-08
399,4034,3,Detached House,18/09/2017,29/09/2017,22/11/2017,Public Housing,105,11,54,65,BRISBANE,NUDGEE,2017,2017-11
400,4034,2,Apartment,22/09/2017,9/10/2017,1/11/2017,Public Housing,105,17,23,40,BRISBANE,NUDGEE,2017,2017-11
401,4034,3,Detached House,9/06/2017,28/06/2017,7/07/2017,Public Housing,105,19,9,28,BRISBANE,NUDGEE,2017,2017-07
402,4034,2,Detached House,28/11/2017,11/12/2017,2/02/2018,Public Housing,105,13,53,66,BRISBANE,NUDGEE,2018,2018-02
403,4034,3,Detached House,12/06/2017,22/06/2017,4/07/2017,Public Housing,105,10,12,22,BRISBANE,NUDGEE,2017,2017-07
404,4102,1,Detached House,7/11/2017,20/11/2017,23/11/2017,Public Housing,107,13,3,16,BRISBANE,SOUTH BRISBANE,2017,2017-11
405,4102,1,Detached House,11/01/2018,31/01/2018,27/02/2018,Public Housing,107,20,27,47,BRISBANE,SOUTH BRISBANE,2018,2018-02
406,4122,1,Detached House,8/06/2017,20/06/2017,12/07/2017,Public Housing,107,12,22,34,BRISBANE,MANSFIELD,2017,2017-07
407,4122,1,Apartment,26/09/2017,20/10/2017,7/11/2017,Public Housing,107,24,18,42,BRISBANE,MANSFIELD,2017,2017-11
408,4122,1,Senior Unit,3/08/2017,18/08/2017,5/09/2017,Public Housing,107,15,18,33,BRISBANE,MANSFIELD,2017,2017-09
409,4012,1,Apartment,14/03/2018,29/03/2018,6/04/2018,Public Housing,105,15,8,23,BRISBANE,NUDGEE,2018,2018-04
410,4012,1,Detached House,14/09/2017,27/09/2017,4/12/2017,Public Housing,105,13,68,81,BRISBANE,NUDGEE,2017,2017-12
411,4012,1,Detached House,1/12/2017,15/12/2017,31/01/2018,Public Housing,105,14,47,61,BRISBANE,NUDGEE,2018,2018-01
412,4077,1,Detached House,30/06/2017,20/07/2017,20/07/2017,Public Housing,104,20,0,20,BRISBANE,INALA,2017,2017-07
413,4077,1,Detached House,30/06/2017,18/07/2017,18/07/2017,Public Housing,104,18,0,18,BRISBANE,INALA,2017,2017-07
414,4077,1,Apartment,30/06/2017,20/07/2017,20/07/2017,Public Housing,104,20,0,20,BRISBANE,INALA,2017,2017-07
415,4077,1,Detached House,30/06/2017,17/07/2017,17/07/2017,Public Housing,104,17,0,17,BRISBANE,INALA,2017,2017-07
416,4077,1,Detached House,30/06/2017,15/08/2017,15/08/2017,Public Housing,104,46,0,46,BRISBANE,INALA,2017,2017-08
417,4077,1,Senior Unit,30/06/2017,25/07/2017,25/07/2017,Public Housing,104,25,0,25,BRISBANE,INALA,2017,2017-07
418,4103,1,Senior Unit,14/12/2017,8/01/2018,9/01/2018,Public Housing,107,25,1,26,BRISBANE,MILLER,2018,2018-01
419,4103,1,Senior Unit,20/10/2017,2/11/2017,14/12/2017,Public Housing,107,13,42,55,BRISBANE,MILLER,2017,2017-12
421,4012,1,Detached House,12/12/2017,4/01/2018,22/01/2018,Public Housing,105,23,18,41,BRISBANE,NUDGEE,2018,2018-01
423,4012,1,Detached House,21/02/2018,5/03/2018,3/04/2018,Public Housing,105,12,29,41,BRISBANE,NUDGEE,2018,2018-04
424,4178,1,Attached Housing,28/11/2017,8/12/2017,11/12/2017,Public Housing,109,10,3,13,BRISBANE,LYTTON,2017,2017-12
